"Area","District","X2018income","X2018power","X2018datanum","X2019income","X2019power","X2019datanum","X2020income","X2020power","X2020datanum","power_per_house_2018","power_per_house_2019","power_per_house_2020"
"士林區","三玉里",3582996,2587782,2194,2949318,2455577,2192,2788618,2934344,2188,1179.48131267092,1120.24498175182,1341.10786106033
"士林區","仁勇里",1484352,23512,11,1403625,31570,13,1327131,32879,16,2137.45454545455,2428.46153846154,2054.9375
"士林區","公館里",751972,552143,571,672460,546019,569,576588,585260,568,966.975481611208,959.611599297012,1030.38732394366
"士林區","天山里",3380129,3080189,2564,3017821,2975765,2558,2990034,3403616,2557,1201.32176287051,1163.31704456607,1331.09737974189
"士林區","天母里",6010500,3554416,2692,5611223,3536713,2670,5856387,4118537,2665,1320.36255572065,1324.61161048689,1545.41726078799
"士林區","天玉里",5158674,4149879,3438,4939244,3981432,3409,4763421,4603734,3405,1207.06195462478,1167.91786447639,1352.05110132159
"士林區","天和里",4473387,2906709,2648,3948883,2797428,2644,3719228,3268417,2638,1097.6997734139,1058.02874432678,1238.9753601213
"士林區","天祿里",2508479,2353661,2056,2202965,2204872,2052,2178598,2500792,2048,1144.77675097276,1074.49902534113,1221.08984375
"士林區","天壽里",3833137,2732055,2023,3376232,2660851,2021,3195332,3200293,2022,1350.49678695007,1316.60118753093,1582.73639960435
"士林區","天福里",3007503,2746646,2344,2463747,2588839,2343,2518271,2909135,2341,1171.77730375427,1104.92488262911,1242.68902178556
"士林區","平等里",510176,478762,759,322729,463178,757,483668,518540,753,630.779973649539,611.859973579921,688.63213811421
"士林區","永倫里",1923604,3527,2,1484608,3745,2,1439866,10173,4,1763.5,1872.5,2543.25
"士林區","永福里",2768427,748605,363,1757130,706551,364,1747470,783513,363,2062.27272727273,1941.07417582418,2158.43801652893
"士林區","名山里",3402377,2823400,2619,2933004,2541615,2620,2896233,2949522,2618,1078.04505536464,970.082061068702,1126.63177998472
"士林區","百齡里",2198843,7459,5,1724333,8147,5,1690990,8224,6,1491.8,1629.4,1370.66666666667
"士林區","岩山里",1867070,1200581,1179,1450575,1150695,1181,1325449,1355746,1181,1018.30449533503,974.339542760373,1147.96443691787
"士林區","忠誠里",3515703,2441276,2082,2796203,2226712,2081,2807249,2629870,2081,1172.56292026897,1070.02018260452,1263.75300336377
"士林區","承德里",2485479,3096,2,1938004,4059,3,1898520,936,1,1548,1353,936
"士林區","明勝里",1746918,5568,4,1437740,5714,4,1442833,5164,4,1392,1428.5,1291
"士林區","東山里",3198152,2176611,1836,2734253,2065855,1831,2764616,2329738,1830,1185.51797385621,1128.26597487712,1273.08087431694
"士林區","社子里",1755513,7064,3,1370069,11368,5,1379498,10560,4,2354.66666666667,2273.6,2640
"士林區","社園里",1832262,4578,3,1419846,3930,3,1335333,4449,3,1526,1310,1483
"士林區","社新里",2329512,1068,1,1696916,1028,1,1684761,2011,2,1068,1028,1005.5
"士林區","芝山里",5108131,3256981,2756,4613666,3070341,2753,4612638,3456612,2751,1181.77830188679,1115.27097711587,1256.49291166848
"士林區","前港里",1713495,17340,10,1353867,19377,11,1337379,23111,15,1734,1761.54545454545,1540.73333333333
"士林區","後港里",2999073,15883,7,2384876,18607,8,2314351,27443,13,2269,2325.875,2111
"士林區","富光里",1424950,2767,2,1077954,21716,8,1084777,24041,8,1383.5,2714.5,3005.125
"士林區","菁山里",958532,252931,307,1047721,247448,307,974113,252521,305,823.879478827362,806.019543973941,827.937704918033
"士林區","陽明里",2206122,837490,783,1946673,803512,785,1900886,916734,787,1069.59131545338,1023.5821656051,1164.84625158831
"士林區","新安里",5159092,980341,895,3447279,918549,895,3247832,993470,892,1095.3530726257,1026.31173184358,1113.75560538117
"士林區","溪山里",396949,1381,3,270341,1349,3,313386,4047,4,460.333333333333,449.666666666667,1011.75
"士林區","義信里",1499718,27422,12,1294423,26298,12,1214802,23516,12,2285.16666666667,2191.5,1959.66666666667
"士林區","聖山里",2524566,1998333,1877,2300108,1877003,1874,2275148,2291043,1869,1064.64198188599,1001.60245464248,1225.81219903692
"士林區","葫東里",1217020,10813,4,961575,11734,5,978416,16552,10,2703.25,2346.8,1655.2
"士林區","葫蘆里",2145266,4998,2,1638878,4193,2,1678180,6402,3,2499,2096.5,2134
"士林區","福中里",2436234,7651,3,2120365,6978,3,1907649,7692,3,2550.33333333333,2326,2564
"士林區","福安里",939437,14400,1,697631,10800,1,749333,1190,1,14400,10800,1190
"士林區","福志里",4449113,56455,18,4411890,62621,21,4290532,27016,20,3136.38888888889,2981.95238095238,1350.8
"士林區","福佳里",3243504,89598,19,2814895,85936,20,2821910,76059,19,4715.68421052632,4296.8,4003.10526315789
