FID,Shape,AREA,NEW,FULL,Area,District,2018ppl,2018income,2018power,2018datanum,2019ppl,2019income,2019power,2019datanum,2020ppl,2020income,2020power,2020datanum
48,Polygon,534368.337,6301100033,臺北市士林區三玉里,士林區,三玉里,6054,3582996,2587782,"2,194",5982,2949318,2455577,"2,192",5880,2788618,2934344,"2,188"
87,Polygon,122044.8368,6301100001,臺北市士林區仁勇里,士林區,仁勇里,4105,1484352,23512,11,4022,1403625,31570,13,3943,1327131,32879,16
19,Polygon,1832702.278,6301100044,臺北市士林區公館里,士林區,公館里,1430,751972,552143,571,1415,672460,546019,569,1413,576588,585260,568
35,Polygon,165887.9018,6301100040,臺北市士林區天山里,士林區,天山里,7282,3380129,3080189,"2,564",7231,3017821,2975765,"2,558",7191,2990034,3403616,"2,557"
18,Polygon,1860417.892,6301100042,臺北市士林區天母里,士林區,天母里,7042,6010500,3554416,"2,692",7006,5611223,3536713,"2,670",6927,5856387,4118537,"2,665"
37,Polygon,255150.9741,6301100041,臺北市士林區天玉里,士林區,天玉里,9411,5158674,4149879,"3,438",9277,4939244,3981432,"3,409",9144,4763421,4603734,"3,405"
33,Polygon,405724.5868,6301100039,臺北市士林區天和里,士林區,天和里,8004,4473387,2906709,"2,648",7880,3948883,2797428,"2,644",7747,3719228,3268417,"2,638"
49,Polygon,140788.8031,6301100037,臺北市士林區天祿里,士林區,天祿里,5513,2508479,2353661,"2,056",5473,2202965,2204872,"2,052",5403,2178598,2500792,"2,048"
44,Polygon,212753.1633,6301100038,臺北市士林區天壽里,士林區,天壽里,5342,3833137,2732055,"2,023",5314,3376232,2660851,"2,021",5296,3195332,3200293,"2,022"
47,Polygon,205378.1712,6301100036,臺北市士林區天福里,士林區,天福里,6693,3007503,2746646,"2,344",6700,2463747,2588839,"2,343",6644,2518271,2909135,"2,341"
3,Polygon,6429149.862,6301100048,臺北市士林區平等里,士林區,平等里,1536,510176,478762,759,1547,322729,463178,757,1513,483668,518540,753
82,Polygon,628131.4742,6301100022,臺北市士林區永倫里,士林區,永倫里,7445,1923604,3527,2,7277,1484608,3745,2,7210,1439866,10173,4
51,Polygon,1371651.797,6301100043,臺北市士林區永福里,士林區,永福里,1299,2768427,748605,363,1272,1757130,706551,364,1268,1747470,783513,363
72,Polygon,392402.9103,6301100026,臺北市士林區名山里,士林區,名山里,7418,3402377,2823400,"2,619",7375,2933004,2541615,"2,620",7246,2896233,2949522,"2,618"
106,Polygon,148410.3891,6301100011,臺北市士林區百齡里,士林區,百齡里,7501,2198843,7459,5,7393,1724333,8147,5,7199,1690990,8224,6
68,Polygon,491042.9414,6301100025,臺北市士林區岩山里,士林區,岩山里,3507,1867070,1200581,"1,179",3511,1450575,1150695,"1,181",3439,1325449,1355746,"1,181"
69,Polygon,146588.7211,6301100030,臺北市士林區忠誠里,士林區,忠誠里,5793,3515703,2441276,"2,082",5744,2796203,2226712,"2,081",5615,2807249,2629870,"2,081"
109,Polygon,162951.9691,6301100012,臺北市士林區承德里,士林區,承德里,5761,2485479,3096,2,5725,1938004,4059,3,5623,1898520,936,1
117,Polygon,296094.4967,6301100014,臺北市士林區明勝里,士林區,明勝里,5166,1746918,5568,4,5026,1437740,5714,4,4964,1442833,5164,4
